"sample_name","standards_added","volume_filtered","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","average","NORM_FACTOR"
"S11C1_A_1800",5230198630,6.5,703,291,117408,174188,461974,321668,649307,292566,336185.166666667,2393.460577262
"S11C1_C_1800",5230198630,8,490,83,88802,164328,410864,257795,583254,235273,290052.666666667,2253.98661651102
"S14C1_B_2200",5230198630,6.5,857,339,82668,160027,392276,252621,511882,221851,270220.833333333,2977.73466668406
"S14C1_C_2200",5230198630,6,478,115,142402,198862,463043,352611,695495,358967,368563.333333333,2365.12884714522
"S15C1_B_200",5230198630,6.5,909,332,95230,172838,429423,279613,578926,249719,300958.166666667,2673.61391780449
"S15C1_C_200",5230198630,6,1031,268,132909,250710,648472,379872,887133,355250,442391,1970.42835787045
"S16C1_A_600",5230198630,6.25,378,67,100059,178247,461569,276018,657668,259719,322213.333333333,2597.13579243565
"S16C1_B_600",5230198630,6.5,835,320,136205,184534,429649,317236,567766,280321,319285.166666667,2520.14821570766
"S17C1_A_1000",5230198630,6,699,275,127285,220461,535154,351814,736402,333388,384084,2269.55502355388
"S17C1_B_1000",5230198630,7,540,102,134652,241413,558131,340445,767370,311992,392333.833333333,1904.42722339048
"S18C1_A_1400",5230198630,7,798,176,204625,313638,773530,521579,1044497,491004,558145.5,1338.66748519363
"S18C1_C_1400",5230198630,8.75,347,51,83840,150912,372094,226306,527204,208072,261404.666666667,2286.63471814727
"S19C1_A_1800",5230198630,6.75,433,70,100241,185213,430001,267188,641026,247367,311839.333333333,2484.75467542521
"S19C1_C_1800",5230198630,7.5,342,103,125911,171665,435339,307026,645018,309993,332492,2097.37322201236
"S20C1_B_2200",5230198630,7.75,487,115,85966,143026,388359,235243,541115,221956,269277.5,2506.20396934329
"S20C1_C_2200",5230198630,7,366,76,79115,161111,403884,237661,578933,220975,280279.833333333,2665.80447109279
"S21C1_B_200",5230198630,8,521,119,98471,171756,447608,275125,609802,259132,310315.666666667,2106.8057432378
"S21C1_C_200",5230198630,8.75,283,62,93983,138173,380987,241572,556779,239349,275140.5,2172.47910171608
"S22C1_A_600",5230198630,7,401,70,148682,241111,518470,326324,660382,282360,362888.166666667,2058.95728075218
"S22C1_C_600",5230198630,7.5,1676,556,177423,226360,531330,427910,740112,426568,421617.166666667,1654.01191523274
"S23C1_B_1000",5230198630,8,251,67,68516,120920,301439,187968,445850,180839,217588.666666667,3004.63640301425
"S23C1_C_1000",5230198630,8,449,66,123203,227008,580851,358153,851443,347351,414668.166666667,1576.62169730897
"S24C1_A_1400",5230198630,6.75,697,175,145998,229184,553440,370726,777296,348260,404150.666666667,1917.21628934131
"S24C1_B_1400",5230198630,7.5,892,204,134943,288764,702816,409515,947757,371060,475809.166666667,1465.62921899711
"S26C1_A_1800",5230198630,6.5,317,42,83939,156441,402150,247527,582614,231609,284046.666666667,2832.79488022012
"S26C1_C_1800",5230198630,7.5,682,121,73963,177235,449411,257347,609676,230340,299662,2327.15465201905
"S28C1_B_2200",5230198630,8.25,812,285,171756,264683,698294,460714,1012306,442572,508387.5,1247.00837511353
"S28C1_C_2200",5230198630,8,599,254,79260,139937,350507,230131,464766,205042,244940.5,2669.1169028805
"S29C1_A_200",5230198630,8.25,371,67,75912,152030,405312,238143,596918,230095,283068.333333333,2239.61282718436
"S29C1_C_200",5230198630,7.75,761,204,173570,264678,683842,451476,977476,452826,500644.666666667,1347.99066940659
"S30C1_A_600",5230198630,7,679,157,123899,237197,567011,356606,832616,330879,408034.666666667,1831.14645370935
"S30C1_C_600",5230198630,7,320,72,87654,150480,396313,249418,601965,240061,287648.5,2597.51478925544
"S31C1_A_1000",5230198630,8,614,273,105287,151255,394269,289821,579075,269500,298201.166666667,2192.39527483405
"S31C1_C_1000",5230198630,8.25,616,256,114864,175926,476431,324169,678016,304662,345678,1833.97112429206
"S32C1_B_1400",5230198630,6,625,149,149730,272041,670717,432131,982214,413216,486674.833333333,1791.13385768526
"S32C1_C_1400",5230198630,6.5,1167,300,132972,227382,564629,353058,752662,318597,391550,2055.02730960777
"S33C1_A_1800",5230198630,6.25,579,110,142311,229456,587763,384674,855298,377160,429443.666666667,1948.64156990711
"S33C1_C_1800",5230198630,7.25,686,187,82583,174508,424463,252263,569826,227991,288605.666666667,2499.62766122474
"S34C1_B_2200",5230198630,7.75,429,96,113822,213518,526590,310548,724003,290605,363181,1858.20386902079
"S34C1_C_2200",5230198630,7.75,424,80,76339,146016,358872,219671,530066,202449,255568.833333333,2640.63630354577
"S35C1_A_200",5230198630,7.5,271,73,86470,142381,378873,230279,536770,219042,265635.833333333,2625.2475375122
"S35C1_C_200",5230198630,7.25,294,65,98451,149184,381476,238104,552419,225919,274258.833333333,2630.38640840936
"S6C1_A_600",5230198630,6,661,187,254582,343618,799869,610114,1139110,599086,624396.5,1396.06767761617
"S6C1_C_600",5230198630,6.5,466,129,92005,129782,327808,208138,453201,194588,234253.666666667,3434.93425109073
"S7C1_A_1000",5230198630,7,693,251,155595,218050,558189,404436,809516,377304,420515,1776.80043008488
"S7C1_B_1000",5230198630,8.5,481,137,130318,234949,573292,347966,761833,318088,394407.666666667,1560.10528670171
"S8C1_B_1400",5230198630,8,361,68,116146,198811,478185,307955,682893,294974,346494,1886.82871492724
"S8C1_C_1400",5230198630,6.5,600,215,64466,99525,264254,189854,367914,167620,192272.166666667,4184.93200043821
